Category;Norm;R_Category_Norm;R_Norm_Category
Assessment;DIN EN 1991-1-7;is_discussed_in;has_topic
Risk;DIN EN 1991-1-7;is_discussed_in;has_topic
Other Industry Specific;DIN EN 17666;is_discussed_in;has_topic
Assessment;DIN EN 17666;is_discussed_in;has_topic
Risk;DIN EN 17666;is_discussed_in;has_topic
Other Industry Specific;DIN EN ISO 14224;is_discussed_in;has_topic
Assessment;DIN EN ISO 14224;is_discussed_in;has_topic
RAMS;DIN EN ISO 14224;is_discussed_in;has_topic
Other Industry Specific;SN EN 50126-X;is_discussed_in;has_topic
Assessment;SN EN 50126-X;is_discussed_in;has_topic
RAMS;SN EN 50126-X;is_discussed_in;has_topic
Wind Energy Off Shore Risk;BS ISO 29400:2020;is_discussed_in;has_topic
Wind Energy Off Shore Risk;VdS 3549;is_discussed_in;has_topic
